Instruction,Feature,UIS,Complex,1995-win95,1996-win95+slack3.0,1997-win95+slack3.0,1998-win98+slack3.0,1999-win98+slack3.0,2000-win98+rhat7.0,2001-winxp+rhat7.0,2002-winxp+rhat7.0,2003-winxp+rhat7.0,2004-winxp+ubu4.10,2005-winxp+ubu4.10,2006-winxp+ubu6.10,2007-vista+ubu7.10,2008-vista+ubu8.10,2009-win7+ubu9.10,2010-win7+ubu10.10,2011-win7+ubu10.10,2012-win7+ubu12.10,1995-win95,1996-win95+slack3.0,1997-win95+slack3.0,1998-win98+slack3.0,1999-win98+slack3.0,2000-win98+slack3.0,2001-winxp+slack3.0,2002-winxp+slack3.0,2003-winxp+slack3.0,2004-winxp+ubu4.10,2005-winxp+ubu4.10,2006-winxp+ubu4.10,2007-vista+ubu7.10,2008-vista+ubu8.10,2009-win7+ubu9.10,2010-win7+ubu9.10,2011-win7+ubu9.10,2012-win7+ubu12.10
phaddw_Pq_Qq,SSSE3,0x0f 0x38 0x01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phaddd_Pq_Qq,SSSE3,0x0f 0x38 0x02,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phaddsw_Pq_Qq,SSSE3,0x0f 0x38 0x03,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pmaddubsw_Pq_Qq,SSSE3,0x0f 0x38 0x04,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phsubw_Pq_Qq,SSSE3,0x0f 0x38 0x05,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phsubd_Pq_Qq,SSSE3,0x0f 0x38 0x06,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phsubsw_Pq_Qq,SSSE3,0x0f 0x38 0x07,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
psignb_Pq_Qq,SSSE3,0x0f 0x38 0x08,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
psignw_Pq_Qq,SSSE3,0x0f 0x38 0x09,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
psignd_Pq_Qq,SSSE3,0x0f 0x38 0x0a,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pmulhrsw_Pq_Qq,SSSE3,0x0f 0x38 0x0b,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pabsb_Pq_Qq,SSSE3,0x0f 0x38 0x1c,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pabsw_Pq_Qq,SSSE3,0x0f 0x38 0x1d,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pabsd_Pq_Qq,SSSE3,0x0f 0x38 0x1e,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movbe_Gd_Md,SSE4.2+AES+CLMUL,0x0f 0x38 0xf0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movbe_Md_Gd,SSE4.2+AES+CLMUL,0x0f 0x38 0xf1 0xc3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
palignr_Pq_Qq_Ib,SSSE3,0x0f 0x3a 0x0f,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovol_Gd_Ed,Pentium+PentiumPro,0x0f 0x40,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovnol_Gd_Ed,Pentium+PentiumPro,0x0f 0x41,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovcl_Gd_Ed,Pentium+PentiumPro,0x0f 0x42,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
cmovncl_Gd_Ed,Pentium+PentiumPro,0x0f 0x43,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovzl_Gd_Ed,Pentium+PentiumPro,0x0f 0x44,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
cmovnzl_Gd_Ed,Pentium+PentiumPro,0x0f 0x45,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovnal_Gd_Ed,Pentium+PentiumPro,0x0f 0x46,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
cmoval_Gd_Ed,Pentium+PentiumPro,0x0f 0x47,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovsl_Gd_Ed,Pentium+PentiumPro,0x0f 0x48,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
cmovnsl_Gd_Ed,Pentium+PentiumPro,0x0f 0x49,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovpl_Gd_Ed,Pentium+PentiumPro,0x0f 0x4a,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovnpl_Gd_Ed,Pentium+PentiumPro,0x0f 0x4b,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
cmovll_Gd_Ed,Pentium+PentiumPro,0x0f 0x4c,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovnll_Gd_Ed,Pentium+PentiumPro,0x0f 0x4d,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovngl_Gd_Ed,Pentium+PentiumPro,0x0f 0x4e,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cmovgl_Gd_Ed,Pentium+PentiumPro,0x0f 0x4f,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
movmskps_Gd_Ups,SSE,0x0f 0x50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sqrtps_Vps_Wps,SSE,0x0f 0x51,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rsqrtps_Vps_Wps,SSE,0x0f 0x52,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
